# 规划纵一路 面试转写

音频文件：规划纵一路.m4a
转录模型：whisper.cpp small

说明：这是机器原始转写，未逐句人工改写。录音中的 RAG、Agent、召回、数据集、UI 自动化、XPath、AGENTS.md、Skill、MCP、DeepEval / Ragas 及部分支付渠道名称存在明显识别误差；请以《伊智面试题整理》中按上下文校正后的术语为准。

[00:00:00 - 00:00:29] 好 现在就自我介绍 对 面试官你好 我叫梁天泰是
[00:00:29 - 00:00:34] 来面试这个女人技术工程师的这么一个岗位
[00:30:46 - 00:30:49] 大规模叠带之后就能
[00:30:49 - 00:30:52] 保证对于每一条用力是正确的
[00:30:52 - 00:30:54] 这么一个情况
[00:30:54 - 00:31:11] 刚才还有还有还想到就是说
[00:31:11 - 00:31:12] 比如说
[00:31:12 - 00:31:14] 因为来做自动化对吧
[00:31:16 - 00:31:19] 你说的是就说你先自己写一条
[00:31:19 - 00:31:21] 然后然后这截图给他
[00:31:21 - 00:31:22] 然后这样他按照你
[00:31:22 - 00:31:24] 哦截图的话我是解
[00:31:24 - 00:31:25] 解页面的
[00:31:25 - 00:31:26] 因为我是意外自动化嘛
[00:31:26 - 00:31:28] 我是解页面解到动员数
[00:31:28 - 00:31:30] 这解到我想要
[00:31:30 - 00:31:32] 覆盖的那个那个
[00:31:32 - 00:31:33] 那个职务方式
[00:31:33 - 00:31:35] 然后再去告诉AI让他
[00:31:35 - 00:31:38] 一定要严格按照我之前的一些
[00:31:38 - 00:31:40] 编写职务方式的这么一个流程
[00:31:40 - 00:31:43] 不要随意修改我像某一个边界
[00:31:43 - 00:31:44] 因为我
[00:31:44 - 00:31:47] 我现在最近我这么用AI以来的话
[00:31:47 - 00:31:50] AI最终全就是他会随意的去
[00:31:50 - 00:31:51] 修改项目的
[00:31:51 - 00:31:53] 因为当他不明确的时候
[00:31:53 - 00:31:55] 他就会随意的去修改项目的一个边界
[00:31:55 - 00:31:57] 就可能会导致
[00:31:57 - 00:32:00] 这个这个工具在这条
[00:32:00 - 00:32:01] 这条
[00:32:01 - 00:32:03] 这个文件上面重复了
[00:32:03 - 00:32:04] 然后在那个项目目录
[00:32:04 - 00:32:06] 也是会重复这么一个情况
[00:32:06 - 00:32:09] 所以这种避免这么一个情况的发生
[00:32:09 - 00:32:11] 所以我会去
[00:32:12 - 00:32:16] 让他严格按照我这个项目的一个规则
[00:32:16 - 00:32:18] 这个项目规则呢会写到他
[00:32:18 - 00:32:21] 先写到他自己Codex本
[00:32:21 - 00:32:24] 本就有一个Azure能一个文档
[00:32:24 - 00:32:26] 让他写进他的
[00:32:26 - 00:32:29] 把这条规则写进Azure文档里面
[00:32:29 - 00:32:30] 让他根据个这个
[00:32:30 - 00:32:32] 每次去编写正货加本
[00:32:32 - 00:32:35] 他都会查查找到Azure
[00:32:35 - 00:32:37] 然后会去知道这条规则
[00:32:37 - 00:32:38] 所以我
[00:32:39 - 00:32:43] 这个也是提高我自己编写加本的一个效率
[00:32:43 - 00:32:48] 你是怎么
[00:32:48 - 00:32:50] 就比如说按照你刚才讲的
[00:32:50 - 00:32:53] 就是你的页面元素也是
[00:32:53 - 00:32:55] 让Codex基于他的
[00:32:55 - 00:32:57] Codex的那个插件来自去
[00:32:57 - 00:32:59] 根据你的截图去查找的
[00:32:59 - 00:33:00] 对吧
[00:33:00 - 00:33:02] 那你是
[00:33:02 - 00:33:03] 就说
[00:33:03 - 00:33:05] 完全让他自己去探索
[00:33:05 - 00:33:07] 那有没有一种
[00:33:07 - 00:33:10] 更好的方式去做这个事情
[00:33:10 - 00:33:13] 因为现在先写一段语话说你一样
[00:33:13 - 00:33:16] 他自己让他自己去
[00:33:16 - 00:33:18] 摸索整个
[00:33:18 - 00:33:20] 整个页面就比如说这一个页面
[00:33:20 - 00:33:22] 我自己就告诉他我要拿这个元素
[00:33:22 - 00:33:23] 拿这个元素
[00:33:23 - 00:33:24] 对吧
[00:33:24 - 00:33:27] 然后他去抓到这个元素的方式
[00:33:27 - 00:33:28] 点击怎么样的
[00:33:28 - 00:33:30] 就说除了这个方式之外
[00:33:30 - 00:33:32] 有没有一些
[00:33:32 - 00:33:35] 更好的方式去做这个事情
[00:33:35 - 00:33:36] 更好的方式
[00:33:36 - 00:33:37] 对
[00:33:37 - 00:33:38] 因为
[00:33:38 - 00:33:40] 是因为现在有什么
[00:33:40 - 00:33:42] 有什么缺点嘛
[00:33:42 - 00:33:44] 所以才想要用更好的方式
[00:33:44 - 00:33:46] 我只想要用这个方案
[00:33:46 - 00:33:47] 因为比如说你
[00:33:47 - 00:33:50] 如果说在一个比较规范的页面
[00:33:50 - 00:33:53] 就说他可能里面的一些元素的
[00:33:53 - 00:33:56] 就说前两天开发了过什么
[00:33:56 - 00:33:58] 一些元素的一些命运
[00:33:58 - 00:33:59] 属性什么的
[00:33:59 - 00:34:01] 比较规范的情况下的话
[00:34:01 - 00:34:04] 他可能会找起来会比较OK的
[00:34:04 - 00:34:07] 但是如果说在一些
[00:34:07 - 00:34:08] 比较不太规范
[00:34:08 - 00:34:11] 或者是页面比较复杂的前一下的话
[00:34:11 - 00:34:14] 他去抓到那个元素的那个定位的时候
[00:34:14 - 00:34:16] 他是
[00:34:16 - 00:34:19] 并没有准确率并没有那么高
[00:34:19 - 00:34:22] 就是说我们要怎么样提高这个准确率
[00:34:22 - 00:34:24] 怎么样提高这么一个准确率的话
[00:34:24 - 00:34:28] 那肯定就是做多重定位吧
[00:34:28 - 00:34:30] 我现在最常用还是用CSS定位
[00:34:30 - 00:34:32] 如果你像
[00:34:32 - 00:34:34] 万一他定位CSS定位不到的话
[00:34:34 - 00:34:36] 那就直接去文本定位
[00:34:36 - 00:34:37] 文本定位不到的话
[00:34:37 - 00:34:39] 那就用CAPAS去定位
[00:34:39 - 00:34:41] 那我说的不是说
[00:34:41 - 00:34:43] 这个定位的方式我是说怎么样
[00:34:43 - 00:34:47] AI能够在这个页面的这个洞里面
[00:34:47 - 00:34:50] 就准确识别到那些很压的那个元素
[00:34:50 - 00:34:52] 他把你抓出来
[00:34:52 - 00:34:54] 他把我抓出来
[00:34:54 - 00:34:57] 因为我不能说我写个自动画的
[00:34:57 - 00:34:59] 自动画的测试教课
[00:34:59 - 00:35:03] 他自己去写元素定位
[00:35:03 - 00:35:05] 对吧
[00:35:05 - 00:35:08] 如果说我
[00:35:08 - 00:35:12] 不想要人工去写元素定位的样子
[00:35:12 - 00:35:16] 让AR去做这个事情
[00:35:16 - 00:35:18] 那肯定是
[00:35:18 - 00:35:20] 让AR去做那也要去
[00:35:20 - 00:35:22] 有一个重复的一个流程了吧
[00:35:22 - 00:35:24] 就是我自己
[00:35:24 - 00:35:26] 就比如说我拿我之前
[00:35:26 - 00:35:28] 现在这么一个项目去做
[00:35:28 - 00:35:30] 因为为什么要做UIS这种画
[00:35:30 - 00:35:33] 因为我这个项目的目标就是解决
[00:35:33 - 00:35:36] 多个支付多个B总
[00:35:36 - 00:35:40] 但是它执行的一个流程是一模一样的
[00:35:40 - 00:35:44] 你可能的意思就是
[00:35:44 - 00:35:46] 让AR去做创新的事情吗
[00:35:46 - 00:35:49] 这比如说你第一条例子
[00:35:49 - 00:35:51] 就是说我如果说我想要做一个
[00:35:51 - 00:35:54] 比如说我提供一个自然以言的
[00:35:54 - 00:35:58] 这次用力给他他能够给我
[00:35:58 - 00:36:02] 胜任一个自动画的脚本
[00:36:02 - 00:36:04] 这个的话
[00:36:04 - 00:36:08] 我自然以言也要有一个一定的回放
[00:36:08 - 00:36:12] 比如说我肯定要包含对应的一个链接吧
[00:36:12 - 00:36:14] 让他自己去慢慢探索
[00:36:14 - 00:36:17] 然后也是会有一个
[00:36:17 - 00:36:21] 首先他自然以言也要规定他有
[00:36:21 - 00:36:25] 正确的一个先他基础的有一个正确的比如
[00:36:25 - 00:36:27] 像我刚才说的那个
[00:36:27 - 00:36:30] 找到对应的定位
[00:36:30 - 00:36:32] 再去逐步的验证
[00:36:32 - 00:36:34] 这么一套流程
[00:36:34 - 00:36:36] 链接自动画脚本这么一套流程
[00:36:36 - 00:36:39] 让他去照着这个流程去走
[00:36:39 - 00:36:41] 就这么一个情况
[00:36:41 - 00:36:47] 如果是用自然以言去告诉他的话
[00:36:47 - 00:36:50] 这个项目
[00:36:50 - 00:36:52] 就比如说
[00:36:52 - 00:36:55] 我把这个开单的项目给他
[00:36:55 - 00:36:58] 就告诉他我要去用什么会员
[00:36:58 - 00:36:59] 开个什么单
[00:36:59 - 00:37:02] 然后使用是什么项目
[00:37:02 - 00:37:06] 然后什么价格使用什么直播法式
[00:37:06 - 00:37:08] 这样子告诉他
[00:37:08 - 00:37:12] 然后让他自己去把整个自动画的脚本解除
[00:37:12 - 00:37:15] 这个他自己也可以实现
[00:37:15 - 00:37:17] 不需要很多去干
[00:37:17 - 00:37:20] 自己有一个完整的一个插件生态
[00:37:20 - 00:37:22] 对他是可以做得到
[00:37:22 - 00:37:25] 但是我们要如果说让你去设计整个东西
[00:37:25 - 00:37:28] 就是把这个东西当成一个
[00:37:28 - 00:37:31] 把它做成一个工程
[00:37:31 - 00:37:33] 就做成一个透卷
[00:37:33 - 00:37:35] 就是说我支持
[00:37:35 - 00:37:37] 就是说我
[00:37:37 - 00:37:41] 像刚才说的这种自然以言的设施用力
[00:37:41 - 00:37:42] 可能会有很多条
[00:37:42 - 00:37:44] 让我让他平安去做这个事情
[00:37:44 - 00:37:47] 那你觉得这个事情怎么样才能
[00:37:47 - 00:37:50] 提高他的一个
[00:37:50 - 00:37:52] 就是说他
[00:37:52 - 00:37:54] 其实最关键的一个点就是
[00:37:54 - 00:37:56] 他要找到每一个
[00:37:56 - 00:37:59] 每一步的那一个需要的那个元素
[00:37:59 - 00:38:00] 对吧
[00:38:00 - 00:38:02] 他主要就是元素定位的问题
[00:38:02 - 00:38:04] 那我怎么样让他
[00:38:04 - 00:38:06] 就是说怎么设计整一个系统
[00:38:06 - 00:38:09] 让他能够很快速的
[00:38:09 - 00:38:11] 就能找到那个元素
[00:38:11 - 00:38:14] 然后完成整个整个脚本
[00:38:14 - 00:38:17] 就说你当你给一条它
[00:38:17 - 00:38:18] 它是能做到
[00:38:18 - 00:38:21] 但是它这个成功率其实不是很高的
[00:38:21 - 00:38:23] 它并不是说每一次你一告诉它
[00:38:23 - 00:38:25] 它就能不出来收费
[00:38:25 - 00:38:26] 它有时候可能会因为
[00:38:26 - 00:38:28] 它是这样走
[00:38:28 - 00:38:30] 但是可能会有因为某一步可能错意
[00:38:30 - 00:38:32] 因为省一万一点的话怎么样的
[00:38:32 - 00:38:33] 它就往下走了
[00:38:33 - 00:38:35] 那个脚本就没那么坚重
[00:38:35 - 00:38:37] 而有时候就是因为
[00:38:37 - 00:38:40] 它可能找到的那个元素并不是
[00:38:40 - 00:38:42] 预期的那个元素
[00:38:42 - 00:38:44] 这样的话它就会走错
[00:38:44 - 00:38:45] 走错了之后下一个步
[00:38:45 - 00:38:46] 又不过不过了之后
[00:38:46 - 00:38:47] 它又自己回来修复
[00:38:47 - 00:38:49] 又要用什么走走之后
[00:38:49 - 00:38:51] 又找不到那个元素的作用
[00:38:51 - 00:38:53] 它就会不停地说话说话
[00:38:53 - 00:38:55] 最终有可能是会能够
[00:38:55 - 00:38:59] 拿到正确的元素完成的这条脚本
[00:38:59 - 00:39:02] 但是可能它需要多次的诚实
[00:39:02 - 00:39:03] 或者什么样的
[00:39:03 - 00:39:07] 或者甚至于到了最后还是没有搞定
[00:39:07 - 00:39:10] 那你我们设计整一套流程
[00:39:10 - 00:39:12] 要把这个东西
[00:39:12 - 00:39:16] 就是确保它的成功率的话
[00:39:16 - 00:39:19] 你觉得应该是怎么去设计
[00:39:19 - 00:39:24] 如果它完一直一直都一直都
[00:39:24 - 00:39:26] 我会给它设定一个规则
[00:39:26 - 00:39:30] 就是让它施暴重视的一些次数
[00:39:30 - 00:39:33] 先知道比如说先这五次吧
[00:39:33 - 00:39:36] 让它如果像快点之后
[00:39:36 - 00:39:37] 最高三次吧
[00:39:37 - 00:39:42] 那就如果它进行定位定位到三次
[00:39:42 - 00:39:43] 如果还是不行的话
[00:39:43 - 00:39:44] 我会让告诉它
[00:39:44 - 00:39:46] 去手动的一个停止停止到底
[00:39:46 - 00:39:50] 那个页面用户的去人工的去审核
[00:39:50 - 00:39:51] 告诉它这个
[00:39:51 - 00:39:53] 其实最应该定位到哪里
[00:39:53 - 00:39:55] 或者出现到像你刚才是
[00:39:55 - 00:39:57] 有时候出现坦坦的一个窗
[00:39:57 - 00:40:00] 可能会无法响应这么一个情况
[00:40:00 - 00:40:01] 然后这人工的去告诉它
[00:40:01 - 00:40:04] 这份一个应该进行到
[00:40:04 - 00:40:06] 这个一步应该决策是怎么让它
[00:40:06 - 00:40:08] 首先要把它停止下来
[00:40:08 - 00:40:11] 不让它去不停的反复的去重视吧
[00:40:11 - 00:40:14] 然后流程方面
[00:40:14 - 00:40:17] 然后再如果复用的话
[00:40:17 - 00:40:20] 就把用户习惯
[00:40:20 - 00:40:25] 比如说我习惯去把沉淀下来
[00:40:25 - 00:40:27] 方面下次沉淀下来
[00:40:27 - 00:40:30] 到一个规则写到Agent文档
[00:40:30 - 00:40:32] 像什么用Skip文档
[00:40:32 - 00:40:34] 去修下来
[00:40:34 - 00:40:35] 自己的去判断
[00:40:35 - 00:40:36] 下次遇到这种情况
[00:40:36 - 00:40:38] 应该去怎么样去决策
[00:40:38 - 00:40:43] 这是我认为就是
[00:40:43 - 00:40:45] 这个流程方面
[00:40:45 - 00:40:48] 能做到进一步的去借状
[00:40:48 - 00:40:50] 刚才有讲到
[00:40:50 - 00:40:53] 比如说我们从事上市都找不到
[00:40:53 - 00:40:56] 我会人工给它定位这个要告诉它
[00:40:56 - 00:40:57] 对吧
[00:40:57 - 00:41:00] 在这个基础上就说
[00:41:00 - 00:41:02] 如果说我允许我
[00:41:02 - 00:41:05] 就是允许我人工去做一些事情的想象
[00:41:05 - 00:41:09] 那怎么样把这一个系统做得
[00:41:09 - 00:41:11] 就成确率更高的
[00:41:11 - 00:41:14] 就是我已经允许我人
[00:41:14 - 00:41:16] 可能会帮它做一些
[00:41:16 - 00:41:18] 要说定位会怎么样的一些事情
[00:41:18 - 00:41:20] 你觉得就说
[00:41:20 - 00:41:21] 除了看看你捡到的
[00:41:21 - 00:41:24] 这几样还有没有别的意思方式
[00:41:24 - 00:41:28] 就是我整个破绝的设置
[00:41:28 - 00:41:31] 从根本上去做一些事情
[00:41:31 - 00:41:34] 让它变得更准确率更高
[00:41:34 - 00:41:37] 而不是从像于这种
[00:41:37 - 00:41:39] 我这一次把你改了
[00:41:39 - 00:41:40] 然后告诉你
[00:41:40 - 00:41:41] 以后遇到这种事情
[00:41:41 - 00:41:42] 怎么样怎么样
[00:41:42 - 00:41:44] 其实除了这种
[00:41:44 - 00:41:45] 还有没有别的意思
[00:41:45 - 00:41:49] 从架构上的设置去可以有化的天
[00:41:49 - 00:41:52] 架构方面
[00:41:52 - 00:41:53] 对
[00:41:53 - 00:41:57] 因为你设置整一个这种
[00:41:57 - 00:42:00] 让AI读取
[00:42:00 - 00:42:01] 治养育养的
[00:42:01 - 00:42:03] 就是因为去设置
[00:42:03 - 00:42:04] 自动化学本
[00:42:04 - 00:42:05] 然后去跑学本
[00:42:05 - 00:42:06] 做到什么
[00:42:06 - 00:42:08] 本身这里就是一个
[00:42:08 - 00:42:10] 类似
[00:42:10 - 00:42:11] 工作流
[00:42:11 - 00:42:13] 对 一个工作流也好
[00:42:13 - 00:42:14] 或者说一个项目
[00:42:14 - 00:42:15] 一个特殊也好
[00:42:15 - 00:42:17] 反正怎么形式
[00:42:17 - 00:42:18] 形式本身
[00:42:18 - 00:42:19] 就说你怎么去设置它
[00:42:19 - 00:42:20] 怎么才够
[00:42:20 - 00:42:23] 让它变得更净重
[00:42:25 - 00:42:27] 那么出来的东西
[00:42:27 - 00:42:29] 会比较OK
[00:42:29 - 00:42:31] 而不是走两步就停下来
[00:42:31 - 00:42:33] 等你去找一个眼神
[00:42:33 - 00:42:34] 走两步就停下来
[00:42:34 - 00:42:35] 然后去找一个眼神
[00:42:35 - 00:42:38] 这是为了消除它的幻觉
[00:42:38 - 00:42:41] 可能也是因为有这个
[00:42:41 - 00:42:42] 我会
[00:42:42 - 00:42:43] 它自己的生存
[00:42:43 - 00:42:44] 它自己
[00:42:44 - 00:42:45] 现在我对AI了解的话
[00:42:45 - 00:42:46] 它自己生存的东西
[00:42:46 - 00:42:47] 还是对自己比较自信
[00:42:47 - 00:42:49] 然后我的解决方案就是
[00:42:49 - 00:42:50] 用另外一个大模型
[00:42:50 - 00:42:52] 像比如说用GVT
[00:42:52 - 00:42:54] 可能我就不用GVT
[00:42:54 - 00:42:56] 去Ping程
[00:42:56 - 00:42:58] 我用Close去Ping程
[00:42:58 - 00:43:00] 它一边输出
[00:43:00 - 00:43:01] 输出到一结果
[00:43:01 - 00:43:03] 然后我就告诉Close的模型
[00:43:03 - 00:43:05] 它也是一个Agent
[00:43:05 - 00:43:07] 告诉它一个Agent去Ping程
[00:43:07 - 00:43:09] 让Agent去
[00:43:09 - 00:43:11] 它自己Agent会
[00:43:11 - 00:43:12] 制定它对哪一个
[00:43:12 - 00:43:14] 评分的一个规则
[00:43:14 - 00:43:17] 然后对它输出的东西去评分
[00:43:17 - 00:43:19] 然后让它们两个多Agent
[00:43:19 - 00:43:22] 去协同这么一个情况
[00:43:25 - 00:43:28] 通A多Agent之间的
[00:43:28 - 00:43:30] 它们一些通信的话
[00:43:30 - 00:43:31] 我自己
[00:43:31 - 00:43:33] 现在能想到的话
[00:43:33 - 00:43:35] 大概就只有这种文档
[00:43:35 - 00:43:37] 文档之间的这么一个
[00:43:37 - 00:43:39] 同步路下
[00:43:39 - 00:43:42] 开两个Agent这么一个情况
[00:43:42 - 00:43:44] 让它读学到
[00:43:44 - 00:43:45] 它已经写成完毕
[00:43:45 - 00:43:47] 再去输出对应的一个
[00:43:47 - 00:43:48] 评分规则
[00:43:48 - 00:43:52] 然后把
[00:43:52 - 00:43:54] 架构方面的话就
[00:43:54 - 00:43:56] 创建一个对应的一个评分
[00:43:56 - 00:43:59] 规则的这么一个
[00:43:59 - 00:44:02] 分数吧
[00:44:02 - 00:44:04] 然后当它
[00:44:04 - 00:44:06] 符合到对应的一些分数的话
[00:44:06 - 00:44:08] 就判定这个用力是
[00:44:08 - 00:44:09] 通过的
[00:44:09 - 00:44:11] 输出的用力是通过的
[00:44:11 - 00:44:14] 就这么可能就从
[00:44:14 - 00:44:16] 架构方面去
[00:44:16 - 00:44:18] 那这个你讲的这个只能说
[00:44:18 - 00:44:20] 只能摊到那边
[00:44:20 - 00:44:22] 那我怎么确保
[00:44:22 - 00:44:24] 在审承的时候
[00:44:24 - 00:44:25] 就说比如说你现在
[00:44:25 - 00:44:26] 假的这是什么
[00:44:26 - 00:44:28] 可以判断这个用力好不好对吧
[00:44:28 - 00:44:30] 那
[00:44:30 - 00:44:33] 我要提高它好的这个干
[00:44:33 - 00:44:34] 就比如说10个生意出来
[00:44:34 - 00:44:36] 可能10倍有5个是好的
[00:44:36 - 00:44:37] 5个是坏的对吧
[00:44:37 - 00:44:39] 那我怎么样才能提升到
[00:44:39 - 00:44:41] 我10倍除了有8个是好的
[00:44:41 - 00:44:46] 会把错的
[00:44:46 - 00:44:49] 结合到本地下来
[00:44:49 - 00:44:51] 然后让它去
[00:44:51 - 00:44:54] 避免让它走一个错误的一个
[00:44:54 - 00:44:58] 惩罚机制吧相当于
[00:44:58 - 00:45:02] 就是上如果出5个错的
[00:45:02 - 00:45:03] 然后告诉他
[00:45:03 - 00:45:05] 为什么我先问他
[00:45:05 - 00:45:06] 先问他为什么错
[00:45:06 - 00:45:09] 然后让他自己去反省自我反省
[00:45:09 - 00:45:12] 跟大伯行这样的一个互动
[00:45:12 - 00:45:16] 然后就把对应的一些惩罚机制
[00:45:16 - 00:45:17] 沉淀下来
[00:45:17 - 00:45:19] 沉淀到文档
[00:45:19 - 00:45:21] 然后如果是他
[00:45:21 - 00:45:23] 当他10条有8条
[00:45:23 - 00:45:25] 哦 数数有8条是对的话
[00:45:25 - 00:45:27] 就设置一个奖励机制
[00:45:27 - 00:45:29] 也是用平分的一些方式
[00:45:29 - 00:45:31] 告诉他
[00:45:31 - 00:45:33] 嗯 这个本次本次出
[00:45:33 - 00:45:35] 本次有4条8条就是
[00:45:35 - 00:45:37] 正确的这么一个形式
[00:45:37 - 00:45:40] 就人还是用提示词
[00:45:40 - 00:45:42] 就平分提示词去
[00:45:42 - 00:45:44] 规定吧
[00:45:48 - 00:45:52] 之前有
[00:45:52 - 00:45:55] 原来有做个支付吗
[00:45:55 - 00:45:57] 嗯 有
[00:45:57 - 00:46:00] 我们现在聊一下功能测试
[00:46:00 - 00:46:02] 就比如说
[00:46:02 - 00:46:05] 支付你列一下它的测试点
[00:46:05 - 00:46:09] 支付的话
[00:46:09 - 00:46:11] 根据我相个公司的支付的话
[00:46:11 - 00:46:13] 首先
[00:46:14 - 00:46:17] 从sus的话
[00:46:17 - 00:46:19] 就从有一次性商品
[00:46:19 - 00:46:21] 跟订阅性商品
[00:46:21 - 00:46:24] 会单独订阅的商品的话
[00:46:24 - 00:46:26] 就单独有一个测试点
[00:46:26 - 00:46:28] 就是用对应的一个方式
[00:46:28 - 00:46:31] 比如说像stream 阿里
[00:46:31 - 00:46:33] 这种不同的
[00:46:33 - 00:46:34] 不能测试的点
[00:46:34 - 00:46:36] 对一个一次性商品
[00:46:36 - 00:46:39] 进行测试支付
[00:46:39 - 00:46:43] 然后测试测试测试结果平省
[00:46:43 - 00:46:45] 这是结果的
[00:46:45 - 00:46:46] 省合的话
[00:46:46 - 00:46:49] 我会去查教它订单状态是否为sus
[00:46:49 - 00:46:51] 成功的这么一个订单状态
[00:46:51 - 00:46:53] 然后刚查多端的一个
[00:46:53 - 00:46:55] 像本电端 服务端
[00:46:55 - 00:46:57] 是否为正常
[00:46:57 - 00:47:00] 也是对应的一个支付成功
[00:47:00 - 00:47:02] 然后
[00:47:02 - 00:47:05] 然后订阅性商品也是
[00:47:05 - 00:47:07] 逐步的去
[00:47:07 - 00:47:12] 进阅性商品也是单独写一个支付的一个情况
[00:47:14 - 00:47:16] 还有吗
[00:47:16 - 00:47:19] 还有的话
[00:47:19 - 00:47:24] 支付
[00:47:24 - 00:47:28] 还有就是会做
[00:47:28 - 00:47:31] 关于如果是新增的支付方式的话
[00:47:31 - 00:47:33] 会去回归对
[00:47:33 - 00:47:36] 之前所有的支付方式做一个回归测试
[00:47:36 - 00:47:39] 你会考虑一些
[00:47:39 - 00:47:41] 像金额方面的话就考虑这种
[00:47:41 - 00:47:44] 你列小小的测试点
[00:47:44 - 00:47:49] 列小小的测试点
[00:47:49 - 00:47:54] 比如
[00:47:54 - 00:47:57] 测试点的话就是刚才说的一次性
[00:47:57 - 00:48:00] 叠加不同的一个支付方式
[00:48:00 - 00:48:03] 然后还有一个订阅也是叠加不同的
[00:48:03 - 00:48:05] 测试方式
[00:48:05 - 00:48:08] 你要会有一个多组合
[00:48:08 - 00:48:11] 然后其实我有
[00:48:11 - 00:48:14] 然后另外一个项目的支付的话
[00:48:14 - 00:48:17] 我会去做
[00:48:17 - 00:48:19] 门店端像那种
[00:48:19 - 00:48:22] 比如说选一个服务人员
[00:48:22 - 00:48:24] 他是有预约时间的
[00:48:24 - 00:48:27] 然后有足够的预约时间
[00:48:27 - 00:48:30] 然后进行一个地址下单
[00:48:30 - 00:48:33] 选择对应的一些
[00:48:35 - 00:48:38] 选
[00:48:38 - 00:48:41] 选择微信支付
[00:48:41 - 00:48:43] 然后接行下单
[00:48:43 - 00:48:45] 会卡着一个带支付
[00:48:45 - 00:48:47] 带支付中
[00:48:47 - 00:48:50] 再在带支付中去切换
[00:48:50 - 00:48:55] 切换其他的一些支付方式
[00:48:55 - 00:48:58] 做一个组合支付
[00:48:58 - 00:49:01] 切换到支付宝
[00:49:02 - 00:49:05] 像支付宝 鱼儿 直付这种情况
[00:49:05 - 00:49:08] 然后就是对于直付
[00:49:08 - 00:49:13] 然后再去看支付状态
[00:49:13 - 00:49:15] 支付状态这么一些情况
[00:49:15 - 00:49:18] 你可能会有退款
[00:49:18 - 00:49:20] 比如说
[00:49:20 - 00:49:22] 退款是否有
[00:49:22 - 00:49:25] 退款的话是否会
[00:49:25 - 00:49:27] 看一下鱼儿到账
[00:49:27 - 00:49:31] 像微信到账 支付宝到账这么一些情况
[00:49:33 - 00:49:35] 嗯 此
[00:49:35 - 00:49:40] 那稍等
[00:49:40 - 00:49:50] 还有一些比如像特殊的话就是
[00:49:50 - 00:49:53] 正常异常的话
[00:49:53 - 00:49:55] 就是特殊的话就像
[00:49:55 - 00:49:57] 项目金额为零
[00:49:57 - 00:49:59] 去选择
[00:49:59 - 00:50:02] 项目选择去下单
[00:50:02 - 00:50:07] 看的是否会正常的一些支付
[00:50:07 - 00:50:11] 还有一些项目金额边界值的话
[00:50:11 - 00:50:14] 就零点零一这么一个情况
[00:50:14 - 00:50:16] 再去看
[00:50:16 - 00:50:18] 它支付是否会
[00:50:18 - 00:50:20] 是否会成功
[00:50:20 - 00:50:23] 也是进行原来那些
[00:50:23 - 00:50:26] 像看后台啊 看前台
[00:50:26 - 00:50:29] 定单状态这么一些情况
[00:50:29 - 00:50:32] 还有就是
[00:50:32 - 00:50:35] 还有多支付
[00:50:35 - 00:50:39] 可能就是像我之前的那个系统就是
[00:50:39 - 00:50:42] 选
[00:50:42 - 00:50:44] 选定单
[00:50:44 - 00:50:47] 先用微信支付去做首次下单
[00:50:47 - 00:50:49] 然后加中
[00:50:49 - 00:50:53] 加中的话就用支付宝去支付
[00:50:53 - 00:50:56] 这种组合 然后如果是退款的话
[00:50:56 - 00:50:59] 它是否有两个支付宝能到账
[00:50:59 - 00:51:02] 或有微信能到账这种多支付
[00:51:02 - 00:51:05] 多支付组合这些方式
[00:51:05 - 00:51:08] 然后
[00:51:08 - 00:51:14] 还有
[00:51:14 - 00:51:16] 稍等
[00:51:16 - 00:51:21] 支付
[00:51:24 - 00:51:26] 嗯
[00:51:26 - 00:51:41] 还有一些像转单的这种
[00:51:41 - 00:51:44] 一无流程上面的一些是否有
[00:51:44 - 00:51:47] 转单
[00:51:47 - 00:51:50] 然后这种转到对应的其他一些服务人员
[00:51:50 - 00:51:54] 他一些分拥是否有修改正确修改到
[00:51:54 - 00:52:02] 所以这就是
[00:52:02 - 00:52:06] 像加中转单
[00:52:06 - 00:52:08] 这种生活服务方面
[00:52:08 - 00:52:13] 他的金额是否有能增长支付
[00:52:13 - 00:52:19] 以及像这种在加中之后去申请
[00:52:19 - 00:52:24] 收货 退款那种金额是否能对应的一些
[00:52:24 - 00:52:28] 对应的一些等到账
[00:52:28 - 00:52:31] 我们原来那个系统用的规则就是
[00:52:31 - 00:52:34] 已经完成订单之后
[00:52:34 - 00:52:36] 完成订单之后
[00:52:36 - 00:52:39] 分销完成之后是不能退
[00:52:39 - 00:52:42] 分销原来一些用金的
[00:52:42 - 00:52:44] 所以就是要验证这种
[00:52:44 - 00:52:47] 已经完成订单之后再去退款
[00:52:47 - 00:52:49] 完成订单之后再去退款
[00:52:49 - 00:52:51] 这么一个订单状态验证
[00:52:51 - 00:52:55] 这种支付只能用系统去
[00:52:55 - 00:53:00] 系统的去承担这种退款的一些结果
[00:53:00 - 00:53:03] 像这种多个
[00:53:03 - 00:53:06] 多个订单状态上
[00:53:06 - 00:53:08] 付款
[00:53:08 - 00:53:12] 订单还在拍单中
[00:53:12 - 00:53:15] 拍单中还有一些接单中
[00:53:15 - 00:53:17] 拍单还有接单完成
[00:53:17 - 00:53:21] 有一些服务中这些售后
[00:53:21 - 00:53:24] 验证他一些支付是否能到账
